global,year,fneo11
global,2000,0.2655300796031952
global,2001,0.26534661650657654
global,2002,0.2645972967147827
global,2003,0.263195276260376
global,2004,0.2615111172199249
global,2005,0.2595830261707306
global,2006,0.25826823711395264
global,2007,0.256447970867157
global,2008,0.25441622734069824
global,2009,0.25224968791007996
global,2010,0.2494751363992691
global,2011,0.2468952089548111
global,2012,0.24447984993457794
global,2013,0.2427280843257904
global,2014,0.24133756756782532
global,2015,0.2403348684310913
global,2016,0.24034133553504944
global,2017,0.24106329679489136
