region,year,fneo12
5_emr,2000,0.11797454208135605
6_wpr,2000,0.03313453122973442
1_afr,2000,0.12495286017656326
2_amr,2000,0.12376824021339417
3_sear,2000,0.14491432905197144
4_eur,2000,0.07632273435592651
5_emr,2001,0.12319514155387878
2_amr,2001,0.12384427338838577
3_sear,2001,0.1457338035106659
6_wpr,2001,0.03419453278183937
1_afr,2001,0.1285984218120575
4_eur,2001,0.0753578469157219
5_emr,2002,0.12805593013763428
3_sear,2002,0.14629881083965302
4_eur,2002,0.07537683099508286
1_afr,2002,0.13319449126720428
6_wpr,2002,0.03569728881120682
2_amr,2002,0.12413398176431656
6_wpr,2003,0.037233881652355194
4_eur,2003,0.07565335929393768
3_sear,2003,0.14638058841228485
1_afr,2003,0.13794323801994324
5_emr,2003,0.13187122344970703
2_amr,2003,0.1259099692106247
4_eur,2004,0.07561293989419937
5_emr,2004,0.13519053161144257
6_wpr,2004,0.03791697323322296
1_afr,2004,0.1433381736278534
3_sear,2004,0.14624445140361786
2_amr,2004,0.12890173494815826
4_eur,2005,0.07617189735174179
2_amr,2005,0.12799698114395142
6_wpr,2005,0.03857594355940819
5_emr,2005,0.13740341365337372
3_sear,2005,0.14594264328479767
1_afr,2005,0.1484074741601944
1_afr,2006,0.1523776799440384
2_amr,2006,0.12538188695907593
5_emr,2006,0.13846024870872498
4_eur,2006,0.07661499828100204
3_sear,2006,0.14487101137638092
6_wpr,2006,0.039204902946949005
5_emr,2007,0.13896581530570984
1_afr,2007,0.1571565866470337
6_wpr,2007,0.04077555984258652
2_amr,2007,0.12728440761566162
3_sear,2007,0.14367030560970306
4_eur,2007,0.07708010822534561
5_emr,2008,0.14090880751609802
6_wpr,2008,0.044143568724393845
3_sear,2008,0.14236360788345337
2_amr,2008,0.12521988153457642
4_eur,2008,0.07867949455976486
1_afr,2008,0.16100583970546722
5_emr,2009,0.14161305129528046
1_afr,2009,0.1627672016620636
6_wpr,2009,0.047455184161663055
4_eur,2009,0.08098646998405457
2_amr,2009,0.127074733376503
3_sear,2009,0.1413992941379547
6_wpr,2010,0.05109883472323418
4_eur,2010,0.07797126471996307
1_afr,2010,0.161917582154274
3_sear,2010,0.14014336466789246
2_amr,2010,0.12354268878698349
5_emr,2010,0.14155830442905426
1_afr,2011,0.1588914543390274
4_eur,2011,0.07942800223827362
5_emr,2011,0.13964274525642395
3_sear,2011,0.13843727111816406
2_amr,2011,0.12588506937026978
6_wpr,2011,0.05491003394126892
2_amr,2012,0.1254873275756836
6_wpr,2012,0.05757001414895058
5_emr,2012,0.13843250274658203
3_sear,2012,0.13634657859802246
1_afr,2012,0.15615856647491455
4_eur,2012,0.07895474880933762
1_afr,2013,0.15518739819526672
5_emr,2013,0.13782544434070587
2_amr,2013,0.12372809648513794
4_eur,2013,0.07837571203708649
3_sear,2013,0.13377362489700317
6_wpr,2013,0.06038136035203934
2_amr,2014,0.12215874344110489
5_emr,2014,0.13899731636047363
3_sear,2014,0.13132521510124207
4_eur,2014,0.08085718750953674
1_afr,2014,0.1561264842748642
6_wpr,2014,0.06365148723125458
2_amr,2015,0.12476371228694916
4_eur,2015,0.07948692888021469
6_wpr,2015,0.06603261828422546
1_afr,2015,0.15711165964603424
5_emr,2015,0.14011093974113464
3_sear,2015,0.12895403802394867
2_amr,2016,0.12424633651971817
1_afr,2016,0.1582650989294052
3_sear,2016,0.12892833352088928
5_emr,2016,0.14176183938980103
6_wpr,2016,0.06799017637968063
4_eur,2016,0.07909227907657623
1_afr,2017,0.1584409773349762
2_amr,2017,0.12453871965408325
4_eur,2017,0.07899545878171921
3_sear,2017,0.12883667647838593
5_emr,2017,0.1420869678258896
6_wpr,2017,0.06968387216329575
