global,year,fufive7
global,2000,0.034087393432855606
global,2001,0.03413861617445946
global,2002,0.0342545248568058
global,2003,0.03496696799993515
global,2004,0.03437042981386185
global,2005,0.03466873988509178
global,2006,0.03210541978478432
global,2007,0.03215298056602478
global,2008,0.033612146973609924
global,2009,0.031241582706570625
global,2010,0.028902573511004448
global,2011,0.027936551719903946
global,2012,0.029508139938116074
global,2013,0.027425173670053482
global,2014,0.02455306239426136
global,2015,0.024468466639518738
global,2016,0.022505972534418106
global,2017,0.023975500836968422
