region,year,post16
5_emr,2000,43795.381839596965
6_wpr,2000,40817.04397256413
1_afr,2000,90507.39123139289
2_amr,2000,31544.61228952398
3_sear,2000,108335.167160325
4_eur,2000,21154.607990032397
5_emr,2001,43004.66458674836
2_amr,2001,31174.016892610147
3_sear,2001,105571.0734134827
6_wpr,2001,39372.362001590416
1_afr,2001,89976.7856101396
4_eur,2001,19944.154643610007
5_emr,2002,42060.45322997992
3_sear,2002,102364.57300933558
4_eur,2002,19183.07385880294
1_afr,2002,89522.34627011522
6_wpr,2002,37898.19339803521
2_amr,2002,29042.352574534136
6_wpr,2003,36896.07769534757
4_eur,2003,18182.03151761377
3_sear,2003,99371.31943580869
1_afr,2003,88240.60259287355
5_emr,2003,41789.82481114981
2_amr,2003,27752.683015361443
4_eur,2004,17704.78791691908
5_emr,2004,41785.53129171739
6_wpr,2004,35674.34560895001
1_afr,2004,87719.53706039008
3_sear,2004,96150.96289615866
2_amr,2004,26721.418348746673
4_eur,2005,16968.71677205434
2_amr,2005,25929.087791422302
6_wpr,2005,33683.7401362199
5_emr,2005,41639.38430928527
3_sear,2005,92860.2611143249
1_afr,2005,87327.80746087458
1_afr,2006,88529.88076244059
2_amr,2006,24709.068126559047
5_emr,2006,41807.28852534236
4_eur,2006,16661.209128169925
3_sear,2006,89014.81134921883
6_wpr,2006,32148.479400660763
5_emr,2007,41981.5847181778
1_afr,2007,89357.97697389472
6_wpr,2007,30073.305772731477
2_amr,2007,25188.790220291263
3_sear,2007,84841.91680943167
4_eur,2007,15997.247557216851
5_emr,2008,42521.25838849706
6_wpr,2008,28748.577619911746
3_sear,2008,80659.66518102885
2_amr,2008,24922.783967480962
4_eur,2008,15531.602065829997
1_afr,2008,89933.76972918997
5_emr,2009,42902.66651837691
1_afr,2009,91821.86668193944
6_wpr,2009,28262.68993033533
4_eur,2009,16158.697776859264
2_amr,2009,24127.213799895668
3_sear,2009,76405.64423411223
6_wpr,2010,27939.346489510415
4_eur,2010,15139.82797873298
1_afr,2010,93342.29379926116
3_sear,2010,71898.16612417377
2_amr,2010,23520.152181019526
5_emr,2010,43033.35960980906
1_afr,2011,94814.18807059071
4_eur,2011,14734.676175401706
5_emr,2011,43579.517918418554
3_sear,2011,67929.61298637312
2_amr,2011,21811.36551023448
6_wpr,2011,28394.355143225566
2_amr,2012,21583.33111693537
6_wpr,2012,28054.903315689964
5_emr,2012,43940.398888212265
3_sear,2012,63573.16958707959
1_afr,2012,95228.02409628866
4_eur,2012,14666.654045952686
1_afr,2013,96666.56697162589
5_emr,2013,45821.20897741788
2_amr,2013,20695.32425176187
4_eur,2013,13284.0309794977
3_sear,2013,59499.46614600166
6_wpr,2013,26578.151813557237
2_amr,2014,19855.19299257461
5_emr,2014,46062.06635581827
3_sear,2014,55901.27736643339
4_eur,2014,12581.004016466486
1_afr,2014,98622.31382218932
6_wpr,2014,25445.72362509084
2_amr,2015,19314.502679829515
4_eur,2015,11768.303591409447
6_wpr,2015,24664.06553041139
1_afr,2015,99123.99971907391
5_emr,2015,45492.36695433548
3_sear,2015,53806.11835071531
2_amr,2016,19263.928246871645
1_afr,2016,99526.97942004743
3_sear,2016,50544.337876572834
5_emr,2016,45064.59675654757
6_wpr,2016,23368.605369917444
4_eur,2016,11361.662648295647
1_afr,2017,97826.18600259574
2_amr,2017,18544.61183596306
4_eur,2017,10868.013738619755
3_sear,2017,47792.50423682142
5_emr,2017,44784.30660790602
6_wpr,2017,22401.27964424255
