global,year,rneo2
global,2000,0.015660660341382027
global,2001,0.015655087307095528
global,2002,0.015478679910302162
global,2003,0.015001151710748672
global,2004,0.014494994655251503
global,2005,0.01375661976635456
global,2006,0.01306844875216484
global,2007,0.012213759124279022
global,2008,0.011075081303715706
global,2009,0.010150679387152195
global,2010,0.009318799711763859
global,2011,0.008981049992144108
global,2012,0.008300157263875008
global,2013,0.007165432907640934
global,2014,0.006221875548362732
global,2015,0.005611828062683344
global,2016,0.00543148024007678
global,2017,0.005380426067858934
