region,year,rneo9
5_emr,2000,2.793734550476074
6_wpr,2000,2.52468204498291
1_afr,2000,3.0771877765655518
2_amr,2000,0.5473129749298096
3_sear,2000,2.827763795852661
4_eur,2000,0.4804840385913849
5_emr,2001,2.7079336643218994
2_amr,2001,0.4848982095718384
3_sear,2001,2.7012088298797607
6_wpr,2001,2.2406795024871826
1_afr,2001,3.027157783508301
4_eur,2001,0.4492160677909851
5_emr,2002,2.62381911277771
3_sear,2002,2.571983575820923
4_eur,2002,0.4149322211742401
1_afr,2002,2.9687256813049316
6_wpr,2002,1.9748560190200806
2_amr,2002,0.46216079592704773
6_wpr,2003,1.7733978033065796
4_eur,2003,0.39179885387420654
3_sear,2003,2.4440627098083496
1_afr,2003,2.8994877338409424
5_emr,2003,2.540611982345581
2_amr,2003,0.42118704319000244
4_eur,2004,0.3505912125110626
5_emr,2004,2.4539971351623535
6_wpr,2004,1.5591373443603516
1_afr,2004,2.8214240074157715
3_sear,2004,2.320985794067383
2_amr,2004,0.4108980894088745
4_eur,2005,0.33579549193382263
2_amr,2005,0.3928215503692627
6_wpr,2005,1.322189211845398
5_emr,2005,2.3656370639801025
3_sear,2005,2.2008049488067627
1_afr,2005,2.7381114959716797
1_afr,2006,2.652524948120117
2_amr,2006,0.38089317083358765
5_emr,2006,2.2815091609954834
4_eur,2006,0.3089628517627716
3_sear,2006,2.0873162746429443
6_wpr,2006,1.113447666168213
5_emr,2007,2.206562042236328
1_afr,2007,2.5724475383758545
6_wpr,2007,0.9300092458724976
2_amr,2007,0.3573310673236847
3_sear,2007,1.978244423866272
4_eur,2007,0.29845941066741943
5_emr,2008,2.1380276679992676
6_wpr,2008,0.8199170231819153
3_sear,2008,1.871824026107788
2_amr,2008,0.3493039608001709
4_eur,2008,0.27702197432518005
1_afr,2008,2.486637592315674
5_emr,2009,2.0734658241271973
1_afr,2009,2.4049994945526123
6_wpr,2009,0.7304767966270447
4_eur,2009,0.2633212208747864
2_amr,2009,0.340221643447876
3_sear,2009,1.7637853622436523
6_wpr,2010,0.6516573429107666
4_eur,2010,0.24526576697826385
1_afr,2010,2.3365559577941895
3_sear,2010,1.6588808298110962
2_amr,2010,0.3309818208217621
5_emr,2010,2.0061981678009033
1_afr,2011,2.2629823684692383
4_eur,2011,0.22867190837860107
5_emr,2011,1.9431573152542114
3_sear,2011,1.5575847625732422
2_amr,2011,0.3318183422088623
6_wpr,2011,0.6078177690505981
2_amr,2012,0.31851473450660706
6_wpr,2012,0.5557411313056946
5_emr,2012,1.884132742881775
3_sear,2012,1.4621235132217407
1_afr,2012,2.1963658332824707
4_eur,2012,0.2116899937391281
1_afr,2013,2.1301164627075195
5_emr,2013,1.8354086875915527
2_amr,2013,0.29905346035957336
4_eur,2013,0.1981363743543625
3_sear,2013,1.373225212097168
6_wpr,2013,0.5035697817802429
2_amr,2014,0.29005077481269836
5_emr,2014,1.7891241312026978
3_sear,2014,1.291324257850647
4_eur,2014,0.1904871016740799
1_afr,2014,2.0687873363494873
6_wpr,2014,0.45509204268455505
2_amr,2015,0.2852359116077423
4_eur,2015,0.17797665297985077
6_wpr,2015,0.4074195623397827
1_afr,2015,2.013275146484375
5_emr,2015,1.749515175819397
3_sear,2015,1.2154148817062378
2_amr,2016,0.2901601791381836
1_afr,2016,1.9615060091018677
3_sear,2016,1.1632368564605713
5_emr,2016,1.7085704803466797
6_wpr,2016,0.3863341212272644
4_eur,2016,0.16595962643623352
1_afr,2017,1.9206057786941528
2_amr,2017,0.2880842387676239
4_eur,2017,0.15759409964084625
3_sear,2017,1.117836833000183
5_emr,2017,1.6763911247253418
6_wpr,2017,0.36938580870628357
