global,year,ufive10
global,2000,1367822.461348351
global,2001,1339744.3551638313
global,2002,1310997.7207381874
global,2003,1284020.958198063
global,2004,1258138.0892286599
global,2005,1235476.4632728174
global,2006,1213177.8839172497
global,2007,1192997.4900720865
global,2008,1170879.2038313337
global,2009,1149675.0297957547
global,2010,1133016.4027825482
global,2011,1114852.6547038332
global,2012,1096426.5179707147
global,2013,1075582.3140127398
global,2014,1049804.4881929308
global,2015,1022835.5014839843
global,2016,992490.2851716131
global,2017,964366.2593745515
